species_B;species_A;rep
DA_B1;DA_A1;18-23
DA_B1;DA_A2;14-23
DA_B1;DA_A3;8-18
DA_B1;DA_A4;8
DA_B1;DA_A7;7
DA_B1;a1;17
DA_B1;a12;8-18-25
DA_B1;a15;6-8-21-25
DA_B1;a16;1-7-10-13-14-17-18-19-21-23-25
DA_B1;a2;17-18-25
DA_B1;a4;1-6-7-8-14-17-18-19-21-23-25
DA_B1;a5;17-18
DA_B1;a6;14-17
DA_B1;a7;17-18-19
DA_B1-DA_B2;DA_A1;16-20
DA_B1-DA_B2;DA_A3;16
DA_B1-DA_B2;DA_A4;16
DA_B1-DA_B2;a1;16-20
DA_B1-DA_B2;a11;16
DA_B1-DA_B2;a12;24
DA_B1-DA_B2;a14;16
DA_B1-DA_B2;a15;16
DA_B1-DA_B2;a16;20-24
DA_B1-DA_B2;a2;24
DA_B1-DA_B2;a3;16-20
DA_B1-DA_B2;a4;16-20-24
DA_B1-DA_B2;a6;16-20-24
DA_B1-DA_B2;a7;16-24
DA_B1-DA_B2;a8;16-20
DA_B10;DA_A1;20
DA_B10;DA_A2;8-16-17-23
DA_B10;DA_A3;8-17
DA_B10;DA_A4;8
DA_B10;DA_A5;8
DA_B10;a1;21
DA_B10;a11;4-5-15-16-17
DA_B10;a12;5-8-17-20-23
DA_B10;a14;5-15-17
DA_B10;a15;5-8-9-16-17-21
DA_B10;a16;5-8-9-16-17-20-23
DA_B10;a2;5-8
DA_B10;a3;21
DA_B10;a4;8-9-15-16-17-20-21
DA_B10;a5;8-16-17
DA_B10;a6;4-5-15-21
DA_B10;a7;4-5-8-16-17
DA_B10-DA_B11;DA_A3;18
DA_B10-DA_B11;a11;24
DA_B10-DA_B11;a12;24
DA_B10-DA_B11;a14;24
DA_B10-DA_B11;a15;24
DA_B10-DA_B11;a16;14-18
DA_B10-DA_B11;a4;18
DA_B10-DA_B11;a5;14
DA_B10-DA_B11;a6;24
DA_B10-DA_B11;a7;14-18
DA_B10-DA_B9;DA_A3;19
DA_B10-DA_B9;a12;19
DA_B10-DA_B9;a15;19
DA_B10-DA_B9;a16;19
DA_B10-DA_B9;a4;19
DA_B10-DA_B9;a5;19
DA_B10-DA_B9;a7;19
DA_B11;DA_A2;4-15
DA_B11;a11;4-5-11
DA_B11;a12;4-5-11-22
DA_B11;a14;4-11
DA_B11;a15;4-5
DA_B11;a16;2-4-5-11-15-22
DA_B11;a2;4-5-11
DA_B11;a4;2-4-5-11-15-22
DA_B11;a5;15
DA_B11;a6;4-5
DA_B11;a7;4-5-15
DA_B12;DA_A1;23
DA_B12;DA_A2;8-10-14-16-23
DA_B12;DA_A3;8
DA_B12;DA_A4;8
DA_B12;DA_A5;8
DA_B12;a11;8-18
DA_B12;a12;1-2-8-18
DA_B12;a14;18
DA_B12;a15;1-8-13-16-18
DA_B12;a16;2-7-8-10-13-14-16-23
DA_B12;a2;2-8-18
DA_B12;a4;2-7-8-13-14-16-18-23
DA_B12;a5;8-13
DA_B12;a7;8-13-14-16-18
DA_B12-DA_B13;a12;21
DA_B12-DA_B13;a15;21
DA_B12-DA_B13;a16;21
DA_B12-DA_B13;a2;21
DA_B12-DA_B13;a5;21
DA_B13;DA_A1;20-23
DA_B13;DA_A2;23
DA_B13;DA_A3;16-23
DA_B13;a11;16-18-20-23
DA_B13;a12;9-16-18-20-22-23
DA_B13;a14;16-20
DA_B13;a15;16-18-20-22
DA_B13;a16;1-5-9-20-22-23
DA_B13;a2;5-9-16-18
DA_B13;a4;5-9-20-22-23
DA_B13;a5;1-5-16-22
DA_B13;a6;5-16-18-20
DA_B13;a7;1-5-9-16-18-20-22-23
DA_B14;DA_A2;14-15-23
DA_B14;DA_A3;23
DA_B14;a11;23
DA_B14;a12;5-22-23
DA_B14;a15;2-15-22-23
DA_B14;a16;2-5-14-15-22-23
DA_B14;a2;5-15-22-23
DA_B14;a4;2-5-14-15-23
DA_B14;a5;5-15
DA_B14;a7;5-15-22-23
DA_B14-DA_B15;DA_A1;24
DA_B14-DA_B15;a12;9
DA_B14-DA_B15;a15;9
DA_B14-DA_B15;a16;24
DA_B14-DA_B15;a4;9
DA_B14-DA_B15;a5;9-24
DA_B14-DA_B15;a7;9
DA_B15;DA_A2;4-23
DA_B15;DA_A3;2-23
DA_B15;a12;2-4
DA_B15;a15;2-4
DA_B15;a16;2-4-14-22-23
DA_B15;a2;2-4-23
DA_B15;a4;2-4-14-22-23
DA_B15;a5;2-4-22
DA_B15;a7;2-4-14-22-23
DA_B16;DA_A1;24
DA_B16;DA_A2;16
DA_B16;a1;24
DA_B16;a12;16-24
DA_B16;a16;16-24
DA_B16;a2;16-24
DA_B16;a4;16
DA_B16;a5;24
DA_B16;a6;24
DA_B16;a7;24
DA_B16;a8;24
DA_B16-DA_B17;a12;4
DA_B16-DA_B17;a15;4
DA_B16-DA_B17;a16;4
DA_B16-DA_B17;a4;4
DA_B16-DA_B17;a7;4
DA_B17;DA_A1;24
DA_B17;a12;24
DA_B17;a15;24
DA_B17;a16;9-24
DA_B17;a2;24
DA_B17;a4;9-24
DA_B17;a5;9-24
DA_B17;a7;24
DA_B18;DA_A1;24
DA_B18;a11;24
DA_B18;a12;24
DA_B18;a15;24
DA_B18;a16;9-24
DA_B18;a4;24
DA_B18;a5;9
DA_B18;a7;24
DA_B18-DA_B19;DA_A2;23
DA_B18-DA_B19;a15;23
DA_B18-DA_B19;a16;23
DA_B18-DA_B19;a4;23
DA_B19;DA_A3;16
DA_B19;a16;16
DA_B19;a2;16
DA_B19;a4;16
DA_B19;a6;16
DA_B19;a7;16
DA_B2;DA_A1;18
DA_B2;DA_A2;13-15
DA_B2;DA_A3;2-13-18
DA_B2;DA_A4;7
DA_B2;a1;2-4-13
DA_B2;a12;2-5-6-15-18-22
DA_B2;a15;2-5-15-22
DA_B2;a16;1-2-4-5-6-7-13-15-18-22
DA_B2;a2;2-13-14-18-22
DA_B2;a3;2-4-13
DA_B2;a4;1-4-6-7-13-15-18-22
DA_B2;a5;2-5-13-22
DA_B2;a6;2-4-13-22
DA_B2;a7;13-22
DA_B2;a8;2-4-13
DA_B2;a9;2-13
DA_B2-DA_B3;DA_A3;17
DA_B2-DA_B3;a1;17
DA_B2-DA_B3;a12;17
DA_B2-DA_B3;a16;17
DA_B2-DA_B3;a3;17
DA_B2-DA_B3;a4;17
DA_B2-DA_B3;a6;17
DA_B2-DA_B3;a8;17
DA_B20;a12;9
DA_B20;a15;9
DA_B20;a16;9
DA_B20;a4;9
DA_B20;a5;9
DA_B3;DA_A2;14-15-16
DA_B3;DA_A3;2
DA_B3;DA_A4;7
DA_B3;a1;2-5-11
DA_B3;a11;16
DA_B3;a12;2-11
DA_B3;a15;2-14-16-18-22
DA_B3;a16;2-5-7-11-12-14-15-16-22
DA_B3;a2;2-11
DA_B3;a3;2
DA_B3;a4;7-12-14-15-16-22
DA_B3;a5;2-15-18-22
DA_B3;a6;2-11
DA_B3;a7;11-15-18-22
DA_B3;a8;2-11
DA_B3;a9;2
DA_B3-DA_B4;DA_A2;13
DA_B3-DA_B4;DA_A3;13
DA_B3-DA_B4;a1;13
DA_B3-DA_B4;a16;13
DA_B3-DA_B4;a3;13
DA_B3-DA_B4;a6;13
DA_B3-DA_B4;a8;13
DA_B3-DA_B4;a9;13
DA_B4;DA_A1;6-16-18
DA_B4;DA_A2;17-23
DA_B4;DA_A3;18
DA_B4;DA_A4;7
DA_B4;a1;4-6-9-12
DA_B4;a11;18
DA_B4;a12;7-17-18-21
DA_B4;a14;7-18
DA_B4;a15;4-16-19-21
DA_B4;a16;4-6-7-9-14-17-18-19-21-23
DA_B4;a2;7-17-18
DA_B4;a3;4-6-7-9-12
DA_B4;a4;7-14-16-17-19-21-23
DA_B4;a5;21
DA_B4;a6;4-6-7-18
DA_B4;a7;21
DA_B4;a8;4-6-9-12-18
DA_B4-DA_B5;a1;2
DA_B4-DA_B5;a12;2
DA_B4-DA_B5;a16;2
DA_B4-DA_B5;a2;2
DA_B4-DA_B5;a3;2
DA_B4-DA_B5;a6;2
DA_B4-DA_B5;a8;2
DA_B4-DA_B5;a9;2
DA_B5;DA_A2;3-8-13-14-15-23
DA_B5;DA_A3;8-13-14-19-23
DA_B5;DA_A4;8-14
DA_B5;DA_A5;8
DA_B5;a1;3-4-13-14-19-23
DA_B5;a11;18-21
DA_B5;a12;18-21
DA_B5;a14;18
DA_B5;a15;8-19-21-22
DA_B5;a16;1-3-4-6-7-8-9-12-13-14-15-19-21-22-23
DA_B5;a2;18-21-23
DA_B5;a3;3-4-13-14-23
DA_B5;a4;1-7-18-19-22-25
DA_B5;a5;8-9-21-23-25
DA_B5;a6;4-13-23
DA_B5;a7;8-9-18-21-23-25
DA_B5;a8;3-4-13-14-23
DA_B5;a9;4-13
DA_B5-DA_B6;DA_A2;16
DA_B5-DA_B6;DA_A4;16
DA_B5-DA_B6;a1;16
DA_B5-DA_B6;a15;16
DA_B5-DA_B6;a16;16
DA_B5-DA_B6;a4;16
DA_B5-DA_B6;a5;16
DA_B5-DA_B6;a7;16
DA_B5-DA_B6;a8;16
DA_B6;DA_A2;8-13-14
DA_B6;DA_A3;8-14
DA_B6;DA_A4;8-14-24
DA_B6;DA_A5;8
DA_B6;a1;2-3-14-24
DA_B6;a11;21
DA_B6;a12;2-8-21
DA_B6;a15;3-8-21
DA_B6;a16;2-3-4-8-10-11-13-14-19-21
DA_B6;a2;2-17
DA_B6;a3;2-3-14-24
DA_B6;a4;8-13-19-24
DA_B6;a6;2-13-14
DA_B6;a7;21
DA_B6;a8;2-3-14
DA_B6;a9;14
DA_B6-DA_B7;DA_A2;23
